word,normalized_frequency
AAHED,0.0
AALII,0.0
AARGH,1.83
ABACA,1.77
ABACI,1.19
ABACK,2.99
ABAFT,1.8
ABAKA,0.0
ABAMP,0.0
ABASE,1.56
ABASH,1.02
ABATE,2.68
ABAYA,2.24
ABBAS,3.41
ABBES,1.21
ABBEY,3.88
ABBOT,3.43
ABEAM,1.75
ABELE,1.77
ABETS,1.62
ABHOR,2.64
ABIDE,3.59
ABLED,2.29
ABLER,1.29
ABLES,1.73
ABMHO,0.0
ABODE,3.13
ABOHM,0.0
ABOIL,0.0
ABOMA,0.0
ABOON,0.0
ABORT,3.27
ABOUT,6.4
ABOVE,5.2
ABRIS,0.0
ABUSE,4.66
ABUTS,2.27
ABUZZ,2.3
ABYES,0.0
ABYSM,0.0
ABYSS,3.4
ACARI,1.79
ACERB,0.0
ACETA,0.0
ACHED,2.41
ACHES,3.28
ACHOO,1.7
ACIDS,3.85
ACIDY,0.0
ACING,2.02
ACINI,1.12
ACKEE,1.6
ACMES,0.0
ACMIC,0.0
ACNED,0.0
ACNES,1.66
ACOCK,1.08
ACOLD,0.0
ACORN,3.08
ACRED,0.0
ACRES,4.17
ACRID,2.37
ACTED,4.28
ACTIN,3.14
ACTOR,4.65
ACUTE,4.0
ACYLS,0.0
ADAGE,2.95
ADAPT,3.98
ADDAX,1.33
ADDED,5.16
ADDER,2.69
ADDLE,1.69
ADEEM,0.0
ADEPT,3.33
ADIEU,2.83
ADIOS,2.68
ADITS,1.4
ADMAN,1.51
ADMEN,1.11
ADMIT,4.58
ADMIX,0.0
ADOBE,3.53
ADOBO,2.14
ADOPT,4.19
ADORE,3.7
ADORN,3.01
ADOWN,1.59
ADOZE,0.0
ADULT,4.8
ADUNC,0.0
ADUST,0.0
ADYTA,0.0
ADZED,0.0
ADZES,1.46
AECIA,0.0
AEDES,2.47
AEGIS,3.06
AEONS,2.24
AERIE,2.17
AFARS,1.04
AFFIX,2.63
AFIRE,2.46
AFOOT,2.89
AFORE,2.42
AFOUL,2.63
AFRIT,0.0
AFTER,6.11
AGAIN,5.7
AGAMA,1.98
AGAPE,2.65
AGARS,0.0
AGATE,2.81
AGAVE,2.74
AGAZE,0.0
AGENE,0.0
AGENT,4.81
AGERS,2.21
AGGER,2.29
AGGIE,2.85
AGGRO,2.46
AGHAS,0.0
AGILE,3.41
AGING,4.04
AGIOS,1.99
AGISM,0.0
AGIST,0.0
AGITA,1.39
AGLEE,0.0
AGLET,1.32
AGLEY,0.0
AGLOW,2.21
AGMAS,0.0
AGONE,1.56
AGONS,0.0
AGONY,3.6
AGORA,2.72
AGREE,4.97
AGRIA,1.14
AGUES,0.0
AHEAD,5.01
AHING,0.0
AHOLD,2.86
AHULL,0.0
AIDED,3.74
AIDER,1.94
AIDES,3.41
AILED,1.64
AIMED,4.25
AIMER,2.06
AIOLI,2.31
AIRED,3.85
AIRER,1.01
AIRNS,0.0
AIRTH,1.36
AIRTS,0.0
AISLE,3.72
AITCH,1.64
AIVER,0.0
AJIVA,0.0
AJUGA,1.15
AKEES,0.0
AKELA,1.86
AKENE,0.0
ALACK,1.78
ALAMO,3.08
ALAND,2.02
ALANE,1.41
ALANG,1.79
ALANS,2.14
ALANT,0.0
ALARM,4.28
ALARY,1.42
ALATE,1.19
ALBAS,1.18
ALBUM,5.02
ALCID,0.0
ALDER,2.97
ALDOL,1.7
ALECS,1.15
ALEFS,0.0
ALEPH,2.39
ALERT,4.33
ALFAS,1.31
ALGAE,3.54
ALGAL,2.69
ALGAS,0.0
ALGID,0.0
ALGIN,0.0
ALGOR,1.12
ALGUM,0.0
ALIAS,3.46
ALIBI,3.1
ALIEN,4.29
ALIFS,0.0
ALIGN,3.63
ALIKE,4.13
ALINE,2.58
ALIST,1.52
ALIVE,4.76
ALIYA,2.23
ALKIE,0.0
ALKYD,1.77
ALKYL,2.81
ALLAY,2.69
ALLEE,2.09
ALLEY,3.87
ALLOD,0.0
ALLOT,2.79
ALLOW,5.01
ALLOY,3.61
ALLYL,2.09
ALMAH,1.15
ALMAS,2.04
ALMEH,0.0
ALMES,0.0
ALMUD,0.0
ALMUG,0.0
ALOES,1.9
ALOFT,3.08
ALOHA,3.09
ALOIN,0.0
ALONE,5.16
ALONG,5.38
ALOOF,2.99
ALOUD,3.51
ALPHA,4.25
ALTAR,3.8
ALTER,4.05
ALTHO,2.65
ALTOS,2.54
ALULA,1.43
ALUMS,2.42
ALWAY,2.59
AMAHS,0.0
AMAIN,1.37
AMASS,2.77
AMAZE,3.19
AMBER,3.97
AMBIT,2.45
AMBLE,2.3
AMBOS,1.9
AMBRY,1.13
AMEBA,1.58
AMEER,2.48
AMEND,3.55
AMENS,1.33
AMENT,1.79
AMIAS,1.15
AMICE,1.5
AMICI,2.25
AMIDE,2.44
AMIDO,1.77
AMIDS,0.0
AMIES,1.75
AMIGA,2.73
AMIGO,2.86
AMINE,2.79
AMINO,3.72
